magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
5.0,0,385,101.0,1.831,0.76,65.0,60.007,1
4.6,0,327,55.0,0.56,0.89,69.0,64.467,0
4.0,0,246,30.0,1.143,0.35,55.0,10.0,0
5.6,0,482,121.0,4.565,0.57,27.0,9.0,1
2.1,0,68,15.0,0.0,0.1,71.0,8.0211,0
4.5,0,312,17.0,1.513,0.55,81.0,10.0,0
5.0,0,385,133.0,1.56,0.61,32.0,336.23,0
6.6,1,671,302.0,4.329,0.9,16.0,15.0,1
3.2,0,158,18.0,0.201,0.25,203.0,25.74,0
3.3,0,168,26.0,1.267,0.64,230.0,35.0,0
5.4,0,449,57.0,1.699,1.2,39.0,10.0,0
3.0,0,138,13.0,1.211,0.37,340.0,35.0,0
6.4,0,637,129.0,1.55,0.65,20.0,72.0,1
2.9,0,129,13.0,1.081,0.71,114.0,0.0,0
4.0,0,246,11.0,1.209,0.65,93.0,10.0,0
2.18,0,73,7.0,0.586,0.14,235.0,-0.51,0
5.2,0,416,46.0,1.659,0.81,105.0,74.57,0
4.4,0,298,16.0,2.671,0.95,107.0,10.0,0
4.3,0,284,20.0,2.225,1.09,158.0,10.0,0
6.7,1,692,120.0,6.575,0.55,23.0,13.0,1
6.4,1,632,198.0,6.734,0.62,27.0,13.0,1
6.1,0,615,193.0,5.476,0.6,38.0,8.0,1
2.14,0,79,13.0,0.03073,0.31,64.0,4.43,0
2.2,0,74,12.0,0.7,0.4,92.0,6.2115,0
3.0,0,139,11.0,0.2157,0.15,195.0,49.35,0
3.0,0,138,39.0,1.01,0.66,217.0,35.0,0
3.3,0,168,16.0,0.517,0.38,183.0,80.504,0
2.9,0,129,16.0,2.056,0.35,247.0,35.0,0
4.1,0,259,10.0,1.348,0.41,141.0,91.774,0
4.3,0,284,31.0,2.048,0.46,93.0,132.833,0
4.7,0,340,104.0,1.506,0.52,68.0,55.741,0
5.1,0,400,114.0,1.73,0.63,61.0,35.0,1
5.8,0,518,133.0,1.379,0.76,35.0,265.0,0
5.2,0,416,83.0,3.985,0.98,60.0,10.0,0
1.8,0,50,22.0,0.0,0.1,38.0,8.2782,0
5.0,0,385,61.0,1.76,0.66,90.0,55.396,0
4.6,0,326,20.0,35.788,0.46,65.0,10.0,0
3.8,0,222,36.0,0.681,0.51,202.0,45.272,0
3.0,0,138,21.0,1.67,0.74,229.0,17.499,0
4.3,0,284,15.0,4.025,0.66,138.0,258.652,0
6.2,0,593,233.0,2.382,0.54,47.0,248.0,0
3.0,0,138,23.0,0.732,0.59,218.0,35.0,0
4.0,0,246,13.0,3.023,0.26,101.0,10.0,0
5.0,0,385,73.0,2.256,0.57,73.0,10.356,0
6.2,0,605,118.0,3.264,1.32,19.0,49.0,1
2.29,0,81,59.0,0.04761,0.15,61.0,2.77,0
6.3,1,611,248.0,0.345,1.2,31.0,73.0,1
1.05,0,17,55.0,0.0722,0.2,48.0,11.18,0
6.6,1,672,156.0,2.725,0.76,11.0,600.933,1
4.9,0,369,13.0,27.662,0.42,128.0,10.0,0
5.0,0,385,66.0,4.692,1.17,55.0,21.83,0
4.4,0,298,46.0,10.598,0.57,212.0,10.0,0
